Vis,rawData1,rawData2,TruePercent,ReportedPercent
TreeMap,42,19,45,80
TreeMap,61,30,49,70
TreeMap,68,19,27,20
PieChart,29,10,34,76
TreeMap,89,8,8,15
TreeMap,69,58,84,78
PieChart,86,38,44,69
TreeMap,38,9,23,37
BarChart,1,6,16,90
TreeMap,43,38,88,92
BarChart,11,49,22,23
PieChart,22,48,45,57
TreeMap,54,41,75,80
BarChart,78,30,38,41
TreeMap,57,16,28,33
BarChart,50,60,83,82
BarChart,11,24,45,71
PieChart,60,2,3,20
BarChart,69,0,0,6
BarChart,86,39,45,51
BarChart,65,39,60,67
PieChart,82,16,19,20
TreeMap,65,49,75,73
BarChart,38,56,67,71
TreeMap,33,44,75,80
PieChart,47,72,65,81
BarChart,37,37,100,96
BarChart,43,61,70,81
PieChart,10,70,14,20
PieChart,36,58,62,42
BarChart,41,74,55,69
TreeMap,72,31,43,63
PieChart,25,15,60,84
BarChart,53,9,16,36
PieChart,7,8,87,92
PieChart,22,75,29,26
TreeMap,32,46,69,73
BarChart,43,56,76,81
BarChart,46,16,34,45
BarChart,60,17,28,31
PieChart,19,38,50,36
PieChart,19,61,31,31
BarChart,66,64,96,91
PieChart,76,83,91,91
BarChart,40,37,92,92
TreeMap,66,57,86,85
BarChart,37,51,72,82
PieChart,68,29,42,75
TreeMap,10,59,10,12
TreeMap,2,67,2,16
BarChart,55,89,61,78
TreeMap,33,85,38,68
TreeMap,49,14,28,35
TreeMap,83,67,80,92
TreeMap,67,78,85,87
PieChart,72,29,40,37
PieChart,70,32,45,30
PieChart,81,18,22,20
PieChart,28,73,38,34
PieChart,81,41,50,48
TreeMap,19,65,29,39
TreeMap,42,7,16,20
PieChart,61,27,44,50
TreeMap,73,2,2,15
PieChart,55,67,82,80
TreeMap,68,33,48,40
BarChart,57,23,40,60
TreeMap,62,0,0,14
TreeMap,80,65,81,90
PieChart,24,35,68,80
BarChart,38,81,46,65
BarChart,58,18,31,40
PieChart,1,9,70,70
BarChart,66,49,74,80
TreeMap,24,53,45,55
BarChart,38,14,36,66
TreeMap,40,87,45,50
PieChart,74,7,9,16
BarChart,82,27,32,40
BarChart,53,59,89,93
BarChart,59,36,61,72
TreeMap,45,81,55,66
PieChart,74,16,21,30
PieChart,25,27,92,85
TreeMap,43,67,64,70
TreeMap,40,87,45,60
PieChart,64,86,74,85
TreeMap,74,44,59,63
PieChart,60,83,72,72
BarChart,69,54,78,85
TreeMap,23,78,29,67
TreeMap,24,76,31,43
TreeMap,26,33,78,88
BarChart,24,65,36,47
BarChart,52,41,78,81
TreeMap,39,68,57,70
PieChart,40,10,25,42
PieChart,2,51,3,18
BarChart,58,23,39,48
PieChart,43,41,95,99
BarChart,19,15,78,90
BarChart,45,24,53,67
BarChart,74,88,84,88
TreeMap,43,23,53,72
TreeMap,74,46,62,49
TreeMap,23,11,47,70
BarChart,59,81,72,78
PieChart,17,14,82,80
TreeMap,2,76,2,17
PieChart,30,78,38,37
PieChart,55,32,58,78
TreeMap,84,22,26,33
PieChart,77,70,90,97
BarChart,31,13,41,70
TreeMap,53,61,86,94
BarChart,4,80,62,62
PieChart,80,12,15,16
PieChart,2,78,2,7
BarChart,84,53,63,72
BarChart,8,19,42,72
PieChart,38,77,49,57
PieChart,17,45,37,34
PieChart,74,44,59,58
BarChart,86,28,32,40
PieChart,13,40,32,45
BarChart,72,43,59,60
TreeMap,77,34,44,80
PieChart,53,61,86,85
BarChart,48,73,65,75
TreeMap,62,76,81,80
TreeMap,71,50,70,90
TreeMap,27,81,33,50
PieChart,25,34,73,90
TreeMap,10,47,10,16
TreeMap,44,38,86,95
PieChart,31,42,73,85
BarChart,1,12,8,50
PieChart,76,9,11,15
BarChart,27,10,37,55
TreeMap,58,13,22,35
PieChart,65,13,20,25
PieChart,17,70,24,30
BarChart,4,10,40,75
BarChart,56,88,63,65
PieChart,26,72,36,50
PieChart,40,65,61,65
TreeMap,32,83,38,30
BarChart,89,9,10,12
PieChart,21,66,31,30
BarChart,7,10,50,50
TreeMap,88,82,93,50
BarChart,39,21,53,60
BarChart,10,56,10,14
BarChart,78,37,47,58
PieChart,85,22,25,40
